abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
12ppd-S	(S)-Propane-1,2-diol	C3H8O2	0	Extra-organism, Cytosol, Periplasm	C02917	4254-14-3	40815	1,2,5	
arab-D	D-Arabinose	C5H10O5	0	Extra-organism, Cytosol	C00216	10323-20-3	34283	10,6	
octdp_5	all-trans-Octaprenyl diphosphate (5 repeating units)	C30H49O7P2	-3	Cytosol, Mitochondria			1449638	6	
hdcoa	Hexadecenoyl-CoA (n-C16:1CoA)	C37H60N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C05272		1451383	10,2,5,6	
mip2c124_SC	mannose-(inositol-P)2-ceramide, ceramide-1 (24C), yeast-specific	C6000H11500N100O2400P200	-200	Cytosol			1454368	6	
udpglcur	UDP-D-glucuronate	C15H19N2O18P2	-3	Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Periplasm	C00167		34117	1,10,2,5,9	
dms	Dimethyl sulfide	C2H6S	0	Extra-organism, Cytosol, Periplasm	C00580	75-18-3	35409	1,5,9	
urdglyc	(-)-Ureidoglycolate	C3H5N2O4	-1	Cytosol	C00603		1483307	1,5,6	
fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C8H15N3O8P	-1	Cytosol	C04640		44236	1,10,2,3,4,5,6,7,9	
4adcho	4-amino-4-deoxychorismate	C10H10NO5	-1	Cytosol	C11355		214284	1,10,3,4,5,6,7	
cd2	Cadmium	Cd	2	Extra-organism, Cytosol, Periplasm	C01413		1800088	5,9	
enter	Enterochelin	C30H27N3O15	0	Extra-organism, Cytosol, Periplasm	C05821		1516604	1,10,5	
m5masnB1	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C52H87N2O40X	0	Golgi Apparatus			1822947	2	
codhpre6	cobalt-dihydro-precorrin 6	C44H47N4O16Co	-7	Cytosol	C11543		1838462	10,9	
pg_SA	Phosphatidylglycerol (Saureus)	C1710H3365O292P50	-50	Cytosol			1840540	7	
3hdpgpe	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycero-l-phosphoethanolamine	C45H94O7N1P1	0	Cytosol			1842320	9	
xol27oh	27-Hydroxycholesterol	C27H46O2	0	Endoplasmic Reticulum, Mitochondria	C06340	59-31-4	48021	2	
cholcoa	Choloyl-CoA	C45H70N7O20P3S	-4	Peroxisome	C01794	1406-65-1	38424	2	
dimp	dIMP	C10H11N4O7P	-2	Extra-organism, Cytosol, Periplasm	C06196		47635	2,5	
fruur	D-Fructuronate	C6H9O7	-1	Extra-organism, Cytosol, Periplasm	C00905	669-90-9	36345	1,5	
Tyr-ggn	Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis)	XOH	0	Extra-organism, Cytosol			2213851	2	
guln	L-Gulonate	C6H11O7	-1	Cytosol, Endoplasmic Reticulum	C00800	526-97-6	36035	2	
adrncoa	adrenyl coenzyme A	C43H66N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria			2218769	2	
tmndnc	timnodonic acid C20:5, n-3	C20H29O2	-1	Extra-organism, Cytosol			2218016	2	
tetpent6	tetracosapentaenoic acid, n-6	C24H37O2	-1	Extra-organism, Cytosol			2219649	2	
pylald	Perillyl aldehyde	C10H14O	0	Cytosol, Mitochondria	C02576	2111-75-3	40121	2	
gpail_hs	D-glucosaminylphosphatidylinositol	C15H28NO13PFULLRCO2FULLR2CO2	0	Cytosol	C04248	128-33-6	43441	2	
memgacpail_hs	(mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B)	C45H84N2O27P2FULLRCO2FULLR2CO2	0	Endoplasmic Reticulum			2288887	2	
cca_d3	Calcitroic acid (D3)	C22H33O4	-1	Extra-organism, Cytosol, Mitochondria			2290389	2	
ksi_pre4	keratan sulfate I biosynthesis, precursor 4	C101H165N7O72X	-1	Golgi Apparatus			2296815	2	
cs_e_pre5b	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5b	C45H64N2O51S5X	-7	Golgi Apparatus			2301395	2	
omeprazole	omeprazole	C17H19N3O3S	0	Extra-organism, Cytosol			2299956	2	
tchola	taurocholic acid	C26H45NO7S	0	Peroxisome, Extra-organism, Cytosol	C05122	81-24-3	45150	2	
hs_deg6	heparan sulfate, degradation product 6	C67H98N4O83S9	-10	Lysosome			2303802	2	
cs_b_deg2	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2	C37H54NO41S3	-5	Lysosome			2415982	2	
ksii_core2_deg6	keratan sulfate II (core 2-linked), degradation product 6	C44H72N4O33SX	-1	Lysosome			2418061	2	
dhbpt	6,7-Dihydrobiopterin	C9H13N5O3	0	Cytosol	C00268		34451	2,4	
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)	C50H57N13O25	-8	Extra-organism, Cytosol, Mitochondria, Lysosome			2304245	2	
andrstrn	Androsterone	C19H30O2	0	Extra-organism, Cytosol, Endoplasmic Reticulum	C00523	53-41-8	35244	2	
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS	-1	Cytosol	C05747	7783-08-6	46396	4,5	
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs	Type IIIAb	C92H158N5O55FULLRCO	0	Extra-organism, Golgi Apparatus, Cytosol			2419444	2	
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P1	0	Cytosol, Periplasm	C05973		2706660	5	
acgbgbside_hs	beta GalNAc globoside (homo sapiens)	C52H92N3O27FULLRCO	0	Golgi Apparatus, Cytosol, Lysosome			2266490	2	
gd1b2_hs	GD1beta (homo sapiens)	C66H111N4O38FULLRCO	-2	Extra-organism, Golgi Apparatus, Cytosol			2266561	2	
uggmda	UDP-N-glycolylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C41H61N9O29P2	-4	Cytosol			2975382	10	
2mcit	2-Methylcitrate	C7H7O7	-3	Extra-organism, Cytosol, Mitochondria	C02225	96-17-3	39369	1,2,4,5,6	
tamhexc	tetra-methyl hexacosanoate	C30H59O2	-1	Cytosol			3064006	10	
CCbuttc	cis,cis-Butadiene-1,2,4-tricarboxylate	C7H3O6	-3	Cytosol	C01163	1116-26-3	36954	4	
pentso3	pentanesulfonate	C5H11O3S	-1	Extra-organism, Cytosol, Periplasm			3461028	4	
4mbzalc	4-methylbenzyl alcohol	C8H10O	0	Cytosol	C06757	589-18-4	49030	4	
pep	Phosphoenolpyruvate	C3H2O6P	-3	Cytosol, Mitochondria	C00074	138-08-9	33756	1,10,2,3,4,5,6,7,8,9	
nh4oh	Ammonium hydroxide	H5NO	0	Cytosol	C01358	1336-21-6	37427	10,7	
quln	Quinolinate	C7H3NO4	-2	Cytosol, Mitochondria	C03722	89-00-9	42393	1,10,2,3,4,5,6,9	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4	Peroxisome, Cytosol	C05260		45447	4,5,6,7	
gam	D-Glucosamine	C6H14NO5	1	Extra-organism, Cytosol, Periplasm	C00329	3416-24-8	34633	1,2,5	
trnatrp	tRNA(Trp)	R	0	Cytosol, Mitochondria	C01652		38086	5,6,9	
e4hglu	L-erythro-4-Hydroxyglutamate	C5H8NO5	-1	Peroxisome, Cytosol, Mitochondria	C05947		1447439	2,3,6	
pydam	Pyridoxamine	C8H13N2O2	1	Extra-organism, Cytosol	C00534	85-87-0	35277	1,10,2,5,6	
psphings	Phytosphingosine	C18H40NO3	1	Cytosol			1453327	6	
fecost	fecosterol	C28H46O	0	Cytosol	C04525	652-69-7	43985	6	
tartr-L	L-tartrate	C4H4O6	-2	Extra-organism, Cytosol, Periplasm	C00898	87-69-4	36331	1,10,5	
dtdp4d6dm	dTDP-4-dehydro-6-deoxy-L-mannose	C16H22N2O15P2	-2	Cytosol	C00688		35704	1,10,2,5,9	
uacmamu	UDP-N-acetyl-D-mannosaminouronate	C17H22N3O18P2	-3	Cytosol	C06240		47733	1,5	
unagamu	Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate	C71H113N2O18P2	-3	Cytosol			1483661	1,5	
hLkynr	3-Hydroxy-L-kynurenine	C10H12N2O4	0	Cytosol	C03227		1445574	2,6	
idon-L	L-Idonate	C6H11O7	-1	Extra-organism, Cytosol, Periplasm	C00770	1114-17-6	35934	1,5	
itacon	Itaconate	C5H4O4	-2	Mitochondria	C00490	97-65-4	35130	2,6	
m3macchitppdol	(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol	C55H94N2O37P2	-2	Golgi Apparatus	C05863		1456668	6	
ind3acnl	Indole-3-acetonitrile	C10H8N2	0	Cytosol	C02938	771-51-7	1442258	6	
ficytC	Ferricytochrome c	C42H54FeN8O6S2	3	Mitochondria	c00125		1595981	2	
clpn_HP	Cardiolipin (Hpylori)	C75H140O17P2	-2	Cytosol			1757288	3	
com	coenzyme m	C2H5O3S2	-1	Cytosol	C03576		1800334	9	
chito2pdol_U	N,N'-Diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1185H1940N20O170P20	-20	Cytosol			1809478	2	
nm4masn	(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C54H90N3O40X	0	Golgi Apparatus	C05882	91-64-5	46746	2	
l2fn2m2masn	{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine	C68H113N4O49X	0	Golgi Apparatus			1830502	2	
f390a	coenzyme F390 (adenosine)	C39H43N10O24P2	-5	Cytosol			1851127	9	
ptp	triaminopyrimidine triphosphate	C9H14N5O14P3	-4	Cytosol	C05923		1885146	9	
mmh2mpt	monomethylated 7,8-dihydromethanoterin	C29H38N6O16P	-3	Cytosol			1885529	9	
cob	coenzyme b	C11H19N1O7P1S1	-3	Cytosol	C04628		1800336	9	
acmum	N-Acetylmuramate	C11H18NO8	-1	Extra-organism, Periplasm	C02713	61633-75-8	40415	5	
42A3HP24DB	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	C10H8NO5	-1	Cytosol	C05645	2208-41-5	46189	2	
cmp2amep	CMP-2-aminoethylphosphonate	C11H19N4O10P2	-1	Cytosol	C05673	151-18-8	46252	2	
mi134p	1D-myo-Inositol 1,3,4-trisphosphate	C6H9O15P3	-6	Cytosol	C01243		37172	2	
4pyrdx	4-Pyridoxate	C8H9NO4	0	Extra-organism, Cytosol	C00847	82-82-6	36190	2	
2dp6mobq	2-Decaprenyl-6-methoxy-1,4-benzoquinone	C57H86O3	0	Mitochondria			2267458	2	
ksi_pre16	keratan sulfate I biosynthesis, precursor 16	C157H253N11O124S4X	-5	Golgi Apparatus			2296831	2	
cs_d_pre2	chondroitin sulfate D (GlcNAc6S-GlcA2S) precursor 2	C31H46NO34S3X	-4	Golgi Apparatus			2300743	2	
ksi_deg14	keratan sulfate I, degradation product 14	C166H267N11O145S8	-8	Lysosome			2416928	2	
pg180	Phosphatidylglycerol (dioctadecanoyl, n-C18:0)	C42H82O10P1	-1	Cytosol, Periplasm	C00344		2617842	4,5	
ps181	phosphatidylserine (dioctadec-11-enoyl, n-C18:1)	C42H77N1O10P1	-1	Cytosol	C02737		2618014	4,5	
1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	0	Periplasm	C04438		2733793	5	
decdr_tb	decaprenylphosphoryl-beta-D-5-ribose	C55H89O8P	-2	Cytosol			2920418	10	
1msg3p	1-Acyl-sn-glycerol 3-phosphate (branched C19:0)	C22H43O7P	-2	Cytosol			3139658	10	
ficytc	Ferricytochrome c	C42H52FeN8O6S2	1	Cytosol, Mitochondria	C00125	None	33947	10,4,6	
2me4p	2-C-methyl-D-erythritol 4-phosphate	C5H11O7P	-2	Cytosol	C11434		216293	1,10,3,4,5,7	
tdecoa	Tetradecenoyl-CoA (n-C14:1CoA)	C35H56N7O17P3S	-4	Peroxisome, Cytosol	c06737		1451382	5,6	
epist	episterol	C28H46O	0	Cytosol			1454829	6	
hxc2coa	trans-Hexacos-2-enoyl-CoA	C47H80N7O17P3S	-4	Peroxisome			1457691	6	
ttc	tetracosanoate (n-C24:0)	C24H47O2	-1	Peroxisome, Cytosol			1459801	10,6	
sucgsa	N2-Succinyl-L-glutamate 5-semialdehyde	C9H11NO6	-2	Cytosol	C05932		46953	1,10,4,5	
cenchddd	cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	C9H9O4	-1	Cytosol	C12622		1472194	1,5	
3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	Cytosol	C00618		35509	1,2,5	
u23ga_HP	UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine	C49H87N3O20P2	-2	Cytosol			1572255	3	
pleu_SA	Phosphatidylleucine_SA	C2136H3998N50O450P50	-50	Cytosol			1787818	7	
3pop	3-Phosphonopyruvate	C3H2O6P	-3	Cytosol	C02798		40591	7	
dgdcg_SA	Diglucosyl-diacylglycerol (SA)	C2436H4548O750	100	Cytosol			1836658	7	
glc3man	glucose-1,2-(2)[glucose-1,3]-mannose oligosaccharide	C24H42O21	0	Golgi Apparatus			1838658	2	
3hfrdp	3-hydroxy-farnesyl diphosphate	C15H27O8P2	-3	Cytosol			1842158	9	
dpgpe	2,3-O-phytanyl-sn-glycero-1-phosphoethanolamine	C45H94O6N1P1	0	Cytosol			1842259	9	
2ood	2-oxooctanedioic acid	C8H10O5	-2	Cytosol			1886165	9	
2plac-L	2-phospho-L-lactate	C3H4O6P	-3	Cytosol			1897947	9	
hspmd	sym-Homospermidine	C8H24N3	3	Cytosol	C06366	119-61-9	48095	9	
c2m26dcoa	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	C31H46N7O17P3S	-4	Peroxisome, Mitochondria			2266110	2	
thcrm_hs	trihexosyl ceramide (homo sapiens)	C36H66NO17FULLRCO	0	Golgi Apparatus, Cytosol			2265481	2	
3dpdhb_me	3-Decaprenyl-4-hydroxy-5-methoxybenzoate	C58H87O4	-1	Mitochondria			2267128	2	
2dp6mep	2-Decaprenyl-6-methoxyphenol	C57H88O2	0	Mitochondria			2267157	2	
gm2a_hs	GM2alpha (homo sapiens)	C49H85N3O25FULLRCO	-1	Golgi Apparatus			2266549	2	
ksi_pre22	keratan sulfate I biosynthesis, precursor 22	C185H297N13O150S6X	-7	Golgi Apparatus			2296839	2	
ksii_core4_pre7	keratan sulfate II biosynthesis, precursor 7	C75H121N6O56SX	-2	Golgi Apparatus			2299222	2	
4nph	4-Nitrophenol	C6H5NO3	0	Extra-organism, Cytosol	C00870	100-02-7	36247	2	
hs_deg23	heparan sulfate, degradation product 23	C31H49NO29S	-2	Lysosome			2303869	2	
i	Iodide	I	-1	Extra-organism, Cytosol	C00708		35753	2	
acetone	Acetone	C3H6O	0	Extra-organism, Cytosol, Mitochondria	C00207	67-64-1	34257	2,9	
LalaDgluMdapDala	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	C18H30N5O9	-1	Extra-organism, Cytosol, Periplasm			2327202	5	
thcholoylcoa	3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA	C48H76N7O20P3S	-4	Peroxisome	C05448	67-97-0	45832	2	
dhocholoylcoa	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	C48H74N7O20P3S	-4	Peroxisome	C05446		45828	2	
ag	silver	Ag	1	Extra-organism, Cytosol	C06710	7440-22-4	48910	5	
pristanal	pristanal	C19H38O	0	Peroxisome, Cytosol			2364547	2	
R5coa_hs	R group 5 Coenzyme A homo sapiens	XCO2C21H31N7O15P3S	-4	Cytosol			2219198	2	
cs_a	chondroitin sulfate A (GalNAc4S-GlcA), free chain	C45H67N2O46S3	-5	Lysosome			2415876	2	
ksii_core2_deg3	keratan sulfate II (core 2-linked), degradation product 3	C58H94N5O46S2X	-2	Lysosome			2418058	2	
ha_pre1	hyaluronan biosynthesis, precursor 1	C14H20NO11	-1	Extra-organism, Lysosome			2418505	2	
12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	C35H68O5	0	Cytosol, Periplasm	C00641		2618257	10,5	
clpn160	cardiolipin (tetrahexadecanoyl, n-C16:0)	C73H140O17P2	-2	Periplasm	C05980		2617921	4,5	
acnacngalgbside_hs	disialyl galactosylgloboside (homo sapiens)	C72H121N4O43FULLRCO	-2	Extra-organism, Golgi Apparatus, Cytosol			2266486	2	
salc	Salicylate	C7H5O3	-1	Cytosol	C00805	69-72-7	36059	10	
mcbts	mycobactin S	C44H73N5O10	2	Cytosol			2920534	10	
ugggmda	Undecaprenyl-diphospho-N-glycolylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O24P2	-4	Cytosol			2975384	10	
ugagmda	Undecaprenyl-diphospho-N-glycolylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala	C95H152N8O29P2	-4	Cytosol			2975385	10	
PIM4	phosphatidylinositol mannoside tetra-mannose (tuberculosis)	C68H124O33P	-1	Cytosol			3134646	10	
ferulcoa	Feruloyl-CoA	C31H40N7O19P3S	-4	Cytosol	C00406		34885	4	
caffcoa	Caffeoyl-CoA	C30H38N7O19P3S	-4	Cytosol	C00323		34618	4	
R-3hcmrs7ecoa	(R)-3-hydroxy-cis-myristol-7-eoyl-CoA	C35H56N7O18P3S	-4	Cytosol			3461873	4	
q6	Ubiquinone-6	C39H58O4	0	Mitochondria			1449637	6	
dd2coa	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C03221		41433	2,4,5,6,7	
1agly3p_SC	1-Acyl-glycerone 3-phosphate, yeast-specific	C1920H3422O700P100	-200	Cytosol	C03372		1452390	6	
ipc326_SC	Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific	C5000H9900N100O1300P100	-100	Cytosol			1454179	6	
cechddd	cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol	C9H11O4	-1	Cytosol			1472223	1,5	
myrsACP	Myristoyl-ACP (n-C14:0ACP)	C25H47N2O8PRS	-1	Cytosol, Mitochondria	C05761		1437493	1,2,3,4,5,6	
alpam	S-aminomethyldihydrolipoamide	C9H21N2OS2	1	Cytosol, Mitochondria			1444052	10,2,6	
oxur	Oxalureate	C3H3N2O4	-1	Cytosol	C00802	585-05-7	36042	5	
pg_EC	Phosphatidylglycerol (Ecoli)	C1986H3748O500P50	-50	Cytosol	C00344		1439950	1,7	
f420-2	coenzyme ferredoxin 420-2 (oxidized)	C29H32O18N5P1	-4	Cytosol	C00876	64885-97-8	1800341	9	
m5mpdol_U	(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1545H2540N20O470P20	-20	Endoplasmic Reticulum			1809512	2	
n3m2masn	((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C58H96N5O40X	0	Golgi Apparatus			1830634	2	
copre4	cobalt-precorrin 4	C44H43N4O16Co	-7	Cytosol	C11540		1838327	10,9	
pleu_SA2	Phosphatidylleucine_SA2	C1860H3615N50O242P50	-50	Cytosol			1840508	7	
unknown_rbfdeg	unknown riboflavin degradation product	C10H14N2O5	0	Extra-organism, Cytosol			1915386	9	
4hphac	4-Hydroxyphenylacetate	C8H7O3	-1	Extra-organism, Cytosol	C00642	156-38-7	35599	2,9	
frulysp	fructoselysine Phosphate	C12H24N2O10P	-1	Cytosol	C16489		2213238	5	
ak2gchol_hs	1-alkyl 2-acylglycerol 3-phosphocholine	C10H20O5NPFULLRFULLR2CO	0	Cytosol			2255863	2	
clpn_hs	cardiolipin (homo sapiens)	C9H16O9P2FULLRCO2FULLR2CO2FULLRCO2FULLR2CO2	-2	Cytosol			2262847	2	
1mpyr	1-Methylpyrrolinium	C5H10N	1	Cytosol	C06178	76-57-3	47587	2	
R1coa_hs	R group 1 Coenzyme A homo sapiens	XCO2C21H31N7O15P3S	-4	Cytosol, Endoplasmic Reticulum			2218044	2	
ksi_deg31	keratan sulfate I, degradation product 31	C90H148N6O72S2	-2	Lysosome			2416944	2	
lgnccrn	lignoceryl carnitine	C31H61NO4	0	Cytosol, Mitochondria			2614349	2	
hpdca	heptadecanoate	C17H33O2	-1	Extra-organism, Cytosol		506-12-7	215873	2	
pg160	Phosphatidylglycerol (dihexadecanoyl, n-C16:0)	C38H74O10P1	-1	Cytosol, Periplasm	C00344		2617836	10,4,5	
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P1	-1	Cytosol, Periplasm			2706851	5	
ugma	UDP-N-glycolylmuramoyl-L-alanine	C23H33N4O21P2	-3	Cytosol			2975376	10	
ugmag	UDP-N-glycolylmuramoyl-L-alanyl-D-glutamate	C28H39N5O24P2	-4	Cytosol			2975378	10	
acysbmn	acetyl-cystine-bimane	C15H18N3O5S	-1	Extra-organism, Cytosol			3134758	10	
peptido_TB2	peptidoglycan subunit (for Mycobacterium tuberculosis)	C39H63N8O19	-1	Cytosol			3134898	10	
R-3hddcoa	(R)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4	Cytosol			3436769	4	
chols	Choline sulfate	C5H13NO4S	0	Extra-organism, Cytosol, Periplasm	C00919		36376	4	
galt1p	Galactitol 1-phosphate	C6H13O9P	-2	Cytosol	C06311		1439076	1,5,7	
pa_Hp	Phosphatidic acid Hp specific	C36H67O8P	-2	Cytosol			1440847	3	
naglc2p_U	N-Acetyl-D-glucosaminyldiphosphodolichol, human uterine homolog	C1105H1810N10O120P20	-20	Cytosol			1809451	2	
m3mpdol_L	(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human liver homolog	C1480H2428N20O370P20	-20	Cytosol			1809507	2	
ch4	methane	CH4	0	Extra-organism, Cytosol	C01438		1800338	9	
3hdpgpg	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H94O9P1	-1	Cytosol			1842478	9	
tih3cit	(-)threo-iso(homo)3citrate	C9H11O7	-3	Cytosol			1886164	9	
f420-4	coenzyme ferredoxin 420-4	C39H44N7O24P	-6	Cytosol			1897954	9	
mescon	Mesaconate	C5H4O4	-2	Mitochondria	C01732	498-24-8	38272	2	
gd1b_hs	GD1b (homo sapiens)	C66H111N4O38FULLRCO	-2	Golgi Apparatus			2266615	2	
m2gacpail_hs	dimannosyl-glucosaminyl-acylphosphatidylinositol (H3)	C43H78NO24PFULLRCO2FULLR2CO2	0	Endoplasmic Reticulum			2282535	2	
hs_pre4	heparan sulfate, precursor 4	C51H76N2O42X	-3	Golgi Apparatus			2301800	2	
hs_deg18	heparan sulfate, degradation product 18	C43H66N2O45S3	-4	Lysosome			2303864	2	
3ooctdACP	3-Oxooctadecanoyl-[acyl-carrier protein]	C29H53N2O9PRS	-1	Cytosol	C16219		2618692	4,5	
dsbdox	fused thiol:disulfide interchange protein (oxidized)	X	0	Cytosol			2703941	5	
pgp181	Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)	C42H77O13P2	-3	Cytosol, Periplasm	C03892		2617795	4,5	
1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	0	Periplasm	C04438		2733781	5	
decdman1p_tb	(E,E,E,E,E,E,E,Z,Z) decaprenyl mannose phosphate	C56H92O9P	-1	Cytosol			2920348	10	
prepphth	phenolic phthiocerol precursor	C35H59O6	-1	Cytosol			2999527	10	
mshfald	mycothiol conjugated methanol	C18H32N2O13S	0	Cytosol			3134910	10	
gdbtal	4-Guanidinobutanal	C5H12N3O	1	Cytosol	C02647	107-85-7	40280	4	
2hmcnsad	2-Hydroxymuconate semialdehyde	C6H6O4	0	Cytosol	C00682		35687	4	
2omcm	2-oxo-5-methyl-cis-muconate	C7H6O5	-2	Cytosol			3462437	4	
vanln	Vanillin	C8H8O3	0	Extra-organism, Cytosol, Periplasm	C00755	121-33-5	35888	4	
pser-D	D-O-Phosphoserine	C3H6NO6P	-2	Cytosol	C02532		40041	3	
glp	Glycylpeptide	C4H7N2O3R	0	Cytosol	C02038		1445902	6	
2h3oppan	2-Hydroxy-3-oxopropanoate	C3H3O4	-1	Cytosol	C01146		36915	1,4,5	
btnso	d-biotin d-sulfoxide	C10H15N2O4S	-1	Cytosol			1486591	1,5	
caphis	2-(3-Carboxy-3-aminopropyl)-L-histidine	C10H16N4O4	0	Cytosol	C04441		1444152	6,9	
focytC	Ferrocytochrome C	C42H54FeN8O6S2	2	Mitochondria	c00126		1595982	2	
manglyc	2(alpha-D-Mannosyl)-D-glycerate	C9H15O9	-1	Extra-organism, Periplasm	C11544		1771707	5	
dgdcg_SA2	Diglucosyl-diacylglycerol (SA) 2	C2160H4165O542	100	Cytosol			1840560	7	
gdpgpi	glucosaminyl archaetidyl-myo-inositol	C55H110N1O15P1	0	Cytosol			1842701	9	
ohepa	2-oxoheptanedioic acid	C7H8O5	-2	Cytosol			1886160	9	
dkfp	6-deoxy-5-ketofructose 1-phosphate	C6H9O8P	-2	Cytosol			1898596	9	
3hibutcoa	(S)-3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S	-4	Cytosol, Mitochondria	C06000		47176	2,4	
ksii_core4_pre4	keratan sulfate II biosynthesis, precursor 4	C61H99N5O43X	-1	Golgi Apparatus			2299219	2	
cs_c_pre2	chondroitin sulfate C (GalNAc6S-GlcA), precursor 2	C37H54NO37S2X	-4	Golgi Apparatus			2300736	2	
cs_e_deg3	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3	C37H53NO44S4	-6	Lysosome			2416316	2	
antipyrene	antipyrene	C11H12N2O	0	Extra-organism, Cytosol			2299968	2	
tststerones	testosterone sulfate	C19H27O5S	-1	Extra-organism, Cytosol			2794968	2	
m1ocdca	methyl octadecanoate	C19H37O2	-1	Cytosol			3093375	10	
oxoarg-L	2-Oxoarginine	C6H11N3O3	0	Cytosol	C05935	SE: NOS	46957	4	
m1mpdol_U	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human uterine homolog	C1305H2140N20O270P20	-20	Cytosol			1809503	2	
dpgps	2,3-O-phytanyl-sn-glycero-1-phosphoserine	C46H93N1O8P1	-1	Cytosol			1842215	9	
2saa	2-sulfoacetaldehyde	C2H3O4S	-1	Cytosol			1884586	9	
sTn_antigen	sialyl-Tn antigen	C19H30N2O13X	-1	Golgi Apparatus			1885276	2	
h4mpt	5,6,7,8-tetrahydromethanopterin	C30H42N6O16P	-3	Cytosol			1885562	9	
5hbzid	5-hydroxybenzimidazole	C7H6N2O	0	Cytosol			1915358	9	
5g2oxpt	5-Guanidino-2-oxopentanoate	C6H11N3O3	0	Peroxisome	C03771	14191-95-8	42500	2	
retpalm [deleted 10/09/2005  06:18:49 PM]	Retinyl palminate	C36H60O2	0	Extra-organism			2264863	2	
