abbreviation	name	synonyms	equation	compartment	ecnumber	reversible	translocation	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
LEUTRSm	leucyl-tRNA synthetase, mitochondrial		[m] : atp + leu-L + trnaleu --> amp + leutrna + ppi	Mitochondria	6.1.1.4	Irreversible	N	1447952	6	
CDAPPA161	CDP-Diacylglycerol pyrophostatase (n-C16:1)		[c] : cdpdhdec9eg + h2o --> cmp + (2) h + pa161	Cytosol	3.6.1.26	Irreversible	N	2617755	5	
MM8Cg	mannosyl-oligosaccharide 1,2-alpha-mannosidase, Golgi apparatus	Man9-mannosidase, 1,2-alpha-mannosidase, mannosidase 1B, glycoprotein processing mannosidase I, exo-alpha-1,2-mannanase, mannose-9 processing alpha-mannosidase, mannosidase 1A, mannosidase I	[g] : h2o + m8masn --> m7masnC + man	Golgi Apparatus	3.2.1.113	Irreversible	N	1822962	2	
3C4MOPtm	3-Carboxy-4-methyl-2-oxopentanoate transport, diffusion, mitochondrial		3c4mop[c] <==> 3c4mop[m]	Cytosol, Mitochondria		Reversible	Y	1446612	6	
MI13456Ptn	inositol 1,3,4,5,6-pentakisphosphate nuclear transport (diffusion)		mi13456p[c] <==> mi13456p[n]	Nucleus, Cytosol		Reversible	Y	2703404	2	
MECDPDH	2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	[c] : 2mecdp + h --> h2mb4p + h2o	Cytosol		Irreversible	N	1512786	1,10,3,4	
NADPHQR4	NADPH Quinone Reductase (2-Demethylmenaquinone-8)		[c] : 2dmmq8 + h + nadph --> 2dmmql8 + nadp	Cytosol	1.6.99.6	Irreversible	N	2387782	5	
TSTSTERONEGLCte	glucuronidated compound transport		atp[c] + h2o[c] + tststeroneglc[c] --> adp[c] + h[c] + pi[c] + tststeroneglc[e]	Extra-organism, Cytosol		Irreversible	Y	2705227	2	
ABO7g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	NAGAT, (B transferase), Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase, Glycoprotein-fucosylgalactoside alpha-galactosyltransferase, (EC 2.4.1.37), (Histo-blood group A transferase), (Fucosylglycoprotein 3-alpha-galactosyltransferase), (A transferase), (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase), (Histo-blood group B transferase)	[g] : fucgalacgalfucgalacglcgal14acglcgalgluside_hs + udpacgal --> acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs + h + udp	Golgi Apparatus		Irreversible	N	2419989	2	
P45027A12m	5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase	Sterol 26-hydroxylase, Sterol 27-hydroxylase, Cytochrome P-450C27/25, Vitamin D(3) 25-hydroxylase	[m] : nadp + xoltetrol --> h + nadph + thcholst	Mitochondria	1.14.13.15	Irreversible	N	2205637	2	
PPPGOm	protoporphyrinogen oxidase, mitochondrial		[m] : (3) o2 + (2) pppg9 --> (6) h2o + (2) ppp9	Mitochondria	1.3.3.4	Irreversible	N	1512423	2,6	
ATPPRTr	ATP phosphoribosyltransferase reversible		[c] : atp + prpp <==> ppi + prbatp	Cytosol	2.4.2.17	Reversible	N	1492747	4	
AG13T10g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	UDP-GlcNAc:GalR, beta-D-3-N-acetylglucosaminyltransferase, Galbeta1->4GlcNAc-R beta1->3 N-acetylglucosaminyltransferase, poly-N-acetyllactosamine extension enzyme, N-acetyllactosamine beta(1-3)N-acetylglucosaminyltransferase, uridine diphosphoacetylglucosamine-acetyllactosaminide beta1->3-acetylglucosaminyltransferase, UDP-GlcNAc:Galbeta1->4GlcNAcbeta-Rbeta1->3-N- acetylglucosaminyltransferase	[g] : ksi_pre18 + uacgam --> h + ksi_pre19 + udp	Golgi Apparatus	2.4.1.149	Irreversible	N	2297059	2	
H4MPTGL(gtp)	tetrahydromethanopterin glutamate lyase (GTP)		[c] : glu-L + gtp + h4mpt --> gdp + h + h4spt + pi	Cytosol		Irreversible	N	1885899	9	
PCREATtmdiffir	Phosphocreatine transport to/from mitochondria via diffusion		pcreat[m] --> pcreat[c]	Cytosol, Mitochondria		Irreversible	Y	2415595	2	
FUT17g	Galactoside 2-alpha-L-fucosyltransferase 1	Fucosyltransferase 1, GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 1, Blood group H alpha 2-fucosyltransferase, Alpha(1,2)FT 1	[g] : galacgalfucgalacglcgal14acglcgalgluside_hs + gdpfuc --> fucgalacgalfucgalacglcgal14acglcgalgluside_hs + gdp + h	Golgi Apparatus	2.4.1.69	Irreversible	N	2419976	2	
ECHH_1.0	Ech Hydrogenase		(2) fdred[c] + (3) h[c] <==> (2) fdox[c] + h[e] + h2[c]	Extra-organism, Cytosol	1.6.5.3	Reversible	Y	1800861	9	
FACOAL1812	fatty-acid--CoA ligase		[c] : atp + coa + vacc <==> amp + ppi + vacccoa	Cytosol	6.2.1.3	Reversible	N	2218874	2	
GNNUC	gnnuc		[c] : gsn + h2o --> gua + rib-D	Cytosol		Irreversible	N	1436407	3,4,6	
DHFR	dihydrofolate reductase		[c] : dhf + h + nadph <==> nadp + thf	Cytosol	1.5.1.3	Reversible	N	200391	1,10,2,4,5,7,9	
S4T3g	chondroitin 4-sulfotransferase, Golgi apparatus	chondroitin sulfotransferase	[g] : cs_e_pre4 + paps --> cs_e_pre5a + h + pap	Golgi Apparatus	2.8.2.5	Irreversible	N	2301323	2	
DOLPMT_U	Dolichyl-phosphate D-mannosyltransferase (uterus)		[c] : (0.1) dolp_U + gdpmann --> (0.1) dolmanp_U + gdp	Cytosol	2.4.1.83	Irreversible	N	1809330	2	
SLFAT	sulfate adenylyltransferase (ADP)		[c] : adp + h + so4 <==> aps + pi	Cytosol	2.7.7.5	Reversible	N	1444217	6	
3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial	D-3-hydroxybutyryl-CoA dehydratase, D-3-hydroxybutyryl coenzyme A dehydratase, enoyl coenzyme A hydrase (D)	[m] : b2coa + h2o <==> 3hbcoa-R	Mitochondria	4.2.1.55	Reversible	N	2255946	2	
MALTptspp	maltose transport via PEP:Pyr PTS (periplasm)		malt[p] + pep[c] --> malt6p[c] + pyr[c]	Cytosol, Periplasm		Irreversible	Y	1912549	5	
3DPHBH1	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)		[m] : 3dphb + h + nadh + o2 --> 3dpdhb + h2o + nad	Mitochondria		Irreversible	N	2267088	2	
ALCDkt	alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde)		[c] : etoh + pqq --> acald + pqqh2	Cytosol	1.1.1.1	Irreversible	N	3460636	4	
NACHEX26ly	beta-N-acetylhexosaminidase, lysosomal	beta-N-acetyl-D-hexosaminidase;, beta-D-hexosaminidase, beta-acetylaminodeoxyhexosidase;, N-acetylhexosaminidase;, beta-N-acetylglucosaminidase;, hexosaminidase;, N-acetyl-beta-hexosaminidase;, beta-D-N-acetylhexosaminidase;, hexosaminidase A;, beta-acetylhexosaminidinase;, beta-hexosaminidase;, N-acetyl-beta-D-hexosaminidase;	[l] : (2) h2o + ksii_core4_deg4 --> (2) acgam + ksii_core2_deg5	Lysosome	3.2.1.52	Irreversible	N	2708917	2	
THRGLNNaEx	L-threonine/L-glutamine Na-dependent exchange (Thr-L in)		gln-L[c] + na1[e] + thr-L[e] --> gln-L[e] + na1[c] + thr-L[c]	Extra-organism, Cytosol		Irreversible	Y	2305796	2	
HPPKm	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, mitochondrial		[m] : 2ahhmp + atp --> 2ahhmd + amp + h	Mitochondria	2.7.6.3	Irreversible	N	1449175	6	
COAt	CoA transporter		coa[e] <==> coa[c]	Extra-organism, Cytosol		Reversible	Y	1585601	10	
AG13T13g	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	UDP-GlcNAc:GalR, beta-D-3-N-acetylglucosaminyltransferase, Galbeta1->4GlcNAc-R beta1->3 N-acetylglucosaminyltransferase, poly-N-acetyllactosamine extension enzyme, uridine diphosphoacetylglucosamine-acetyllactosaminide beta1->3-acetylglucosaminyltransferase, N-acetyllactosamine beta(1-3)N-acetylglucosaminyltransferase, UDP-GlcNAc:Galbeta1->4GlcNAcbeta-Rbeta1->3-N- acetylglucosaminyltransferase	[g] : ksi_pre27 + uacgam --> h + ksi_pre28 + udp	Golgi Apparatus	2.4.1.149	Irreversible	N	2297095	2	
THMMPt4	Thiamine monophosphate transport in via anion antiport		oh1[c] + thmmp[e] <==> oh1[e] + thmmp[c]	Extra-organism, Cytosol		Reversible	Y	2390643	2	
PEPCK	Phosphoenolpyruvate carboxykinase (GTP)	Phosphoenolpyruvate carboxykinase, Phosphopyruvate carboxylase., Phosphoenolpyruvate carboxylase, PEP carboxykinase, PEPCK	[c] : gtp + oaa --> co2 + gdp + pep	Cytosol	4.1.1.32	Irreversible	N	1509792	2	
GDPt3g	GDP Golgi transport via proton anitport		gdp[g] + h[c] <==> gdp[c] + h[g]	Golgi Apparatus, Cytosol		Reversible	Y	1507248	6	
ARTFR41	R group artificial flux		fadh2[m] + hdcoa[c] --> R4coa_hs[c] + fad[m]	Cytosol, Mitochondria		Irreversible	Y	2414927	2	
5HBZIDS	5-hydroxybenzimidazole synthase		[c] : ribflv --> 5hbzid + unknown_rbfdeg	Cytosol		Irreversible	N	1915441	9	
CRTSTRNtm	corticosterone intracellular transport		crtstrn[c] <==> crtstrn[m]	Cytosol, Mitochondria		Reversible	Y	2705594	2	
GTHOXtex	glutathione (ox) transport via diffusion (extracellular to periplasm)		gthox[e] <==> gthox[p]	Extra-organism, Periplasm		Reversible	Y	2703878	5	
GCALDtm	glycoaldehyde mitochondrial transport		gcald[c] <==> gcald[m]	Cytosol, Mitochondria		Reversible	Y	1486549	6	
RTOT6	R total flux		[c] : R6coa_hs --> Rtotalcoa	Cytosol		Irreversible	N	2415016	2	
FFSD	beta-fructofuranosidase	saccharase, invertase	[c] : h2o + suc6p --> fru + g6p	Cytosol	3.2.1.26	Irreversible	N	1438873	1,5	
11DOCRTSLtr	11-deoxycortisol intracellular transport		11docrtsl[c] <==> 11docrtsl[r]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2705540	2	
PLIPA1G140pp	Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)		[p] : h2o + pg140 --> 2agpg140 + h + ttdca	Periplasm	3.1.1.32	Irreversible	N	2706927	5	
GLYCt	glycerol transport via channel		glyc[c] <==> glyc[e]	Extra-organism, Cytosol		Reversible	Y	1441886	1,10,2,6,7,9	
PLIPA2A120pp	Phospholipase A2 (phosphatidate, n-C12:0) (periplasm)	phosphatidolipase;, phospholipase A, lecithinase A;, phospholipase A2;, phosphatidase;	[p] : h2o + pa120 --> 1ddecg3p + ddca + h	Periplasm	3.1.1.4	Irreversible	N	2721519	5	
AGPRim	N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial		[m] : acg5p + h + nadph --> acg5sa + nadp + pi	Mitochondria	1.2.1.38	Irreversible	N	1445420	2,6	
GLCAASE8ly	beta-glucuronidase, lysosomal	beta-glucuronide glucuronohydrolase glucuronidase, exo-beta-D-glucuronidase, ketodase	[l] : h2o + ha --> glcur + ha_deg1	Lysosome	3.2.1.31	Irreversible	N	2418567	2	
ID3ACALDtm	indole-3-acetaldehyde mitochondrial transport via diffusion		id3acald[c] <==> id3acald[m]	Cytosol, Mitochondria		Reversible	Y	1447795	6	
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)		12dgr120[p] --> 12dgr120[c]	Cytosol, Periplasm		Irreversible	Y	2706160	5	
DNDPt20m	dTDP transport via ATP antiport		atp[m] + dtdp[c] --> atp[c] + dtdp[m]	Cytosol, Mitochondria		Irreversible	Y	2274500	2	
CRNtp	carnitine transport into peroxsiome		crn[c] --> crn[x]	Peroxisome, Cytosol		Irreversible	Y	1459414	6	
GLACO	D-Glucuronolactone:NAD+ oxidoreductase		[c] : glac + (2) h2o + nad --> glcr + (3) h + nadh	Cytosol	1.2.1.3	Irreversible	N	2217419	2	
SO4CLtex2	sulfate transport via chloride countertransport (2:1)		cl[c] + (2) so4[e] --> cl[e] + (2) so4[c]	Extra-organism, Cytosol		Irreversible	Y	2325706	2	
CSNAT2x	carnitine dimethyl nonanoyl transferase, revsible, peroxisomal		[x] : crn + dmnoncoa <==> coa + dmnoncrn	Peroxisome	2.3.1.7	Reversible	N	2365412	2	
DGK2m	deoxyguanylate kinase (dGMP:dATP) (mitochondrial)		[m] : datp + dgmp <==> dadp + dgdp	Mitochondria	2.7.4.8	Reversible	N	2794755	2	
MANAT1	mannosyl acyl transferase		[c] : PIM1 + pmtcoa --> Ac1PIM1 + coa	Cytosol		Irreversible	N	2920255	10	
B3GNT31g	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus	Beta3Gal-T8, Core1-beta3GlcNAcT, Core 1 extending beta-1,3-N-acetylglucosaminyltransferase, b3Gal-T8, UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8, Beta-1,3-galactosyltransferase 8, Beta-3-Gx-T8, UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8, Beta-1,3-GalTase 8	[g] : thcrm_hs + udpgal --> galthcrm_hs + h + udp	Golgi Apparatus		Irreversible	N	2266660	2	
MLTG1	Maltodextrin glucosidase (maltotriose)		[c] : h2o + malttr --> glc-D + malt	Cytosol		Irreversible	N	1486129	1,2,5	
MDDCP1pp	murein D,D-carboxypeptidase (murein5px4p) (periplasm)		[p] : h2o + murein5px4p --> ala-D + murein4px4p	Periplasm	3.4.16.4	Irreversible	N	2528650	5	
CHLt2	choline transport via proton symport		chol[e] + h[e] --> chol[c] + h[c]	Extra-organism, Cytosol		Irreversible	Y	218223	6	
HIBDm	3-hydroxyisobutyrate dehydrogenase, mitochondrial		[m] : 3hmp + nad <==> 2mop + h + nadh	Mitochondria	1.1.1.31	Reversible	N	2220553	2	
ALAD_L	L-alanine dehydrogenase		[c] : ala-L + h2o + nad --> h + nadh + nh4 + pyr	Cytosol	1.4.1.1	Irreversible	N	141894	10,3,7	
NDPK5m	nucleoside-diphosphate kinase (ATP:dGDP), mitochondrial		[m] : atp + dgdp <==> adp + dgtp	Mitochondria	2.7.4.6	Reversible	N	2208778	2	
CU1Opp	Cuprous Oxidase (Cu+1)		[p] : (4) cu + (4) h + o2 --> (4) cu2 + (2) h2o	Periplasm		Irreversible	N	2937293	5	
GAO2	Ganglioside O-acetylation	solute carrier family 33 (acetyl-CoA transporter), member 1	[c] : accoa + gt3_hs --> coa + oagt3_hs	Cytosol		Irreversible	N	2290049	2	
GK (adp)	ADP-specific glucokinase	ADP-dependent glucokinase	[c] : adp + glc-D --> amp + g6p + h	Cytosol	2.7.1.147	Irreversible	N	1840723	9	
MM7Cbg	mannosyl-oligosaccharide 1,2-alpha-mannosidase, Golgi apparatus	1,2-alpha-mannosidase, Man9-mannosidase, mannosidase 1B, glycoprotein processing mannosidase I, exo-alpha-1,2-mannanase, mannose-9 processing alpha-mannosidase, mannosidase 1A, mannosidase I	[g] : h2o + m7masnC --> m6masnC + man	Golgi Apparatus	3.2.1.113	Irreversible	N	1823088	2	
DOLPGT1_Uer	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (uterus)	dolichol phosphoglucose-oligosaccharide-lipid glucosyltransferase, oligoglucosylsynthase	[r] : (0.1) dolglcp_U + (0.1) m8mpdol_U --> (0.1) dolp_U + (0.1) g1m8mpdol_U + h	Endoplasmic Reticulum		Irreversible	N	1822608	2	
H2SO	Hydrogen sulfide oxidation		[c] : h2s + (2) o2 --> (2) h + so4	Cytosol		Irreversible	N	1698443	5	
TSULabc	thiosulfate transport via ABC system		atp[c] + h2o[c] + tsul[e] --> adp[c] + h[c] + pi[c] + tsul[c]	Extra-organism, Cytosol		Irreversible	Y	1487037	1,10,9	
D-3AIBt	D-3-amino-isobutyrate transport		3aib-D[c] --> 3aib-D[e]	Extra-organism, Cytosol		Irreversible	Y	2703558	2	
GLCAASE7ly	beta-glucuronidase, lysosomal	beta-glucuronide glucuronohydrolase glucuronidase, exo-beta-D-glucuronidase, ketodase	[l] : cs_e_deg3 + h2o --> cs_e_deg4 + glcur	Lysosome	3.2.1.31	Irreversible	N	2416435	2	
UAGDP	UDP-N-acetylglucosamine diphosphorylase		[c] : acgam1p + h + utp --> ppi + uacgam	Cytosol	2.7.7.23	Irreversible	N	226784	1,10,2,3,4,5,7,9	
MMM2	Methylmalonyl-CoA mutase		[c] : succoa --> mmcoa-R	Cytosol	5.4.99.2	Irreversible	N	1460510	1,5	
PTDCACRNCPT1	carnitine fatty-acyl transferase		[c] : crn + ptdcacoa --> coa + ptdcacrn	Cytosol	2.3.1.21	Irreversible	N	2422214	2	
HISabcpp	L-histidine transport via ABC system (periplasm)		atp[c] + h2o[c] + his-L[p] --> adp[c] + h[c] + his-L[c] + pi[c]	Cytosol, Periplasm		Irreversible	Y	1912404	4,5	
GGPTRCS	gamma glutamyl putrescine synthase		[c] : atp + glu-L + ptrc --> adp + ggptrc + h + pi	Cytosol		Irreversible	N	2234105	5	
ARAB-Lt	L-arabinoase extracellular transport		arab-L[e] <==> arab-L[c]	Extra-organism, Cytosol		Reversible	Y	1486522	2,6	
MANtg	mannose efflux from Golgi apparatus		man[g] --> man[c]	Golgi Apparatus, Cytosol		Irreversible	Y	2429864	2	
PCRNtm	transport into the mitochondria from cytosol (carnitine)		pcrn[c] --> pcrn[m]	Cytosol, Mitochondria		Irreversible	Y	2704958	2	
THRAi	Threonine aldolase		[c] : thr-L --> acald + gly	Cytosol	4.1.2.5	Irreversible	N	2957586	5	
GLYabcpp	glycine transport via ABC system		atp[c] + gly[p] + h2o[c] <==> adp[c] + gly[c] + h[c] + pi[c]	Cytosol, Periplasm		Reversible	Y	3460582	4	
SHSL1r	O-succinylhomoserine lyase reversible	O-succinyl-L-homoserine succinate-lyase, cystathionine gamma-synthase	[c] : cys-L + suchms <==> cyst-L + h + succ	Cytosol	4.2.99.9	Reversible	N	1492869	10,3	
RETNtr	retinoic acid transport in ER		retn[c] --> retn[r]	Endoplasmic Reticulum, Cytosol		Irreversible	Y	2794734	2	
OMMBLHX	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase		[c] : 2ommbl + (0.5) o2 --> 2omhmbl	Cytosol		Irreversible	N	1446556	1,5	
DNDPt38m	dUTP transport via dUDP antiport		dudp[m] + dutp[c] --> dudp[c] + dutp[m]	Cytosol, Mitochondria		Irreversible	Y	2274740	2	
USHD_HP	UDP-sugar hydrolase		[c] : h2o + u23ga_HP --> (2) h + lipidX_HP + ump	Cytosol		Irreversible	N	1572278	3	
LPLIPAL2ATG181	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:1)		[c] : 2agpg181 + pg181 --> apg181 + g3pg	Cytosol		Irreversible	N	2707936	5	
CPC8MM	precorrin-8X methylmutase	precorrin isomerase, hydrogenobyrinic acid-binding protein	[c] : copre8 <==> cobya	Cytosol	5.4.1.2	Reversible	N	1838527	10,9	
FAOXC180x	Beta oxidation of long chain fatty acid		[x] : coa + h2o + nad + o2 + stcoa --> accoa + h + h2o2 + nadh + pmtcoa	Peroxisome	1.3.99.3	Irreversible	N	2608160	2	
ST8SIA55g	Beta-galactoside alpha-2,3-sialyltransferase	sialyltransferase 8 (alpha-N-acetylneuraminate: alpha-2,8-sialytransferase, GD3 synthase), ST8Sia, ganglioside GT3 synthase, (Ganglioside GT3 synthase) (Alpha-2,8- sialyltransferase 8A) (ST8Sia I), GD3S, SIAT8, ganglioside-specific alpha-2,8-polysialyltransferase, sialyltransferase 8A (alpha-N-acetylneuraminate: alpha-2,8-sialyltransferase, GD3 synthase), sialyltransferase 8 (alpha-N-acetylneuraminate: alpha-2,8-sialytransferase, GD3 synthase) A, ST8SiaI, ganglioside GD3 synthase, Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase  (Ganglioside GD3 synthase), disialoganglioside (GD3) synthase	[g] : cmpacna + gq1c_hs --> cmp + gp1calpha_hs + h	Golgi Apparatus	2.4.99.8	Irreversible	N	2288669	2	
CYTBD2pp	cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)		(2) h[c] + mql8[c] + (0.5) o2[c] --> (2) h[p] + h2o[c] + mqn8[c]	Cytosol, Periplasm		Irreversible	Y	1914350	5	
PHEt2m	Phenylalanine mitochondrial transport via proton symport		h[m] + phe-L[m] <==> h[c] + phe-L[c]	Cytosol, Mitochondria		Reversible	Y	1457886	6	
VOR	2-oxoisovalerate ferredoxin reductase		[c] : 3mob + coa + (2) fdox <==> co2 + (2) fdred + h + ibcoa	Cytosol		Reversible	N	1800876	9	
BZALDH	Benzyl alcohol dehydrogenase		[c] : bzalc + nad --> bzal + h + nadh	Cytosol	1.1.1.90	Irreversible	N	3461701	4	
CPGNUtex	coprogen unloaded secretion (extracellular)		cpgn-un[p] + h[p] --> cpgn-un[e] + h[c]	Extra-organism, Cytosol, Periplasm		Irreversible	Y	2391052	5	
PIPLCn	phosphatidylinositol phospholipase C, nucleus	lipophosphodiesterase I, alpha-toxin, heat-labile hemolysin, phospholipase C, lipophosphodiesterase C, Clostridium welchii alpha-toxin, Clostridium oedematiens beta- and gamma-toxins, lecithinase C, phosphatidase C	[n] : h2o + pail_hs --> dag_hs + h + mi1p-D	Nucleus	3.1.4.3	Irreversible	N	2265766	2	
PCLAD	picolinic acid decarboxylase	alpha-amino-beta-carboxymuconate-e-semialdehyde beta-decarboxylase, picolinic acid carboxylase, aminocarboxymuconate-semialdehyde decarboxylase, alpha-amino-beta-carboxymuconate-e-semialdehade decarboxylase	[c] : cmusa + h --> am6sa + co2	Cytosol	4.1.1.45	Irreversible	N	1445645	2,6	
PROt2pp	L-proline transport in via proton symport (periplam)		h[p] + pro-L[p] --> h[c] + pro-L[c]	Cytosol, Periplasm		Irreversible	Y	3435120	4	
SSALx	succinate-semialdehyde dehydrogenase (NAD)		[c] : h2o + nad + sucsal --> (2) h + nadh + succ	Cytosol	1.2.1.24	Irreversible	N	142051	1,10,5,9	
PUNP2	purine-nucleoside phosphorylase (Deoxyadenosine)		[c] : dad-2 + pi <==> 2dr1p + ade	Cytosol	2.4.2.1	Reversible	N	144950	1,10,2,3,5,6,7	
4HOXPACDtex	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)		4hoxpacd[e] <==> 4hoxpacd[p]	Extra-organism, Periplasm		Reversible	Y	2324380	5	
G6PDH1	glucose-6-phosphate dehydrogenase		[c] : g6p + nad --> 6pgl + h + nadh	Cytosol		Irreversible	N	1436055	3	
F6Pt6_2pp	Fructose-6-phosphate transport via phosphate antiport (periplasm)		f6p[p] + (2) pi[c] --> f6p[c] + (2) pi[p]	Cytosol, Periplasm		Irreversible	Y	2734782	5	
SERAT	serine O-acetyltransferase	SATase, serine acetyltransferase, L-serine acetyltransferase, serine transacetylase	[c] : accoa + ser-L <==> acser + coa	Cytosol	2.3.1.30	Reversible	N	140938	1,10,3,4,5,7,9	
CHOLD2m	choline dehydrogenase (FAD acceptor), mitochondrial		[m] : chol + fad --> betald + fadh2	Mitochondria	1.1.99.1	Irreversible	N	2209698	2	
O2Stm	superoxide anion transport via diffusion (mitochondria)		o2s[c] <==> o2s[m]	Cytosol, Mitochondria		Reversible	Y	2976204	2	
HEXCCOAtx	fatty acid intracellular transport		hexccoa[c] <==> hexccoa[x]	Peroxisome, Cytosol		Reversible	Y	2614202	2	
VD3	Vitamin D3 formation		[c] : pd3 <==> vitd3	Cytosol		Reversible	N	2289022	2	
PPNCL	phosphopantothenate-cysteine ligase		[c] : 4ppan + ctp + cys-L --> 4ppcys + cdp + h + pi	Cytosol	6.3.2.5	Irreversible	N	1529320	10,4	
EAR161x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	NADH-specific enoyl-ACP reductase;, enoyl-[acyl-carrier-protein] reductase (NADH2), NADH-enoyl acyl carrier protein reductase;, enoyl-ACP reductase;, enoyl-[acyl carrier protein] reductase;	[c] : h + nadh + t3c9palmeACP --> hdeACP + nad	Cytosol	1.3.1.9	Irreversible	N	2617354	5	
URIK1	uridine kinase (ATP:Uridine)		[c] : atp + uri --> adp + h + ump	Cytosol	2.7.1.48	Irreversible	N	145579	2,6,7	
G12MT1_U	Glycolipid 1,2-alpha-D-mannosyltransferase (uterus)		[c] : gdpmann + (0.1) m2mpdol_U --> gdp + h + (0.1) m3mpdol_U	Cytosol	2.4.1.131	Irreversible	N	1809550	2	
FUCPt6_2	Fucose 1-phosphate transport via phosphate antiport		fuc1p-L[e] + (2) pi[c] --> fuc1p-L[c] + (2) pi[e]	Extra-organism, Cytosol		Irreversible	Y	1487428	1	
P45021A1r	Steroid 21-hydroxylase	P450-C21B, Cytochrome P450 XXIB	[r] : h + nadph + o2 + prgstrn --> 11docrtstrn + h2o + nadp	Endoplasmic Reticulum	1.14.99.10	Irreversible	N	2210755	2	
BALAt2r	beta-alanine reversible transport via proton symport		ala-B[e] + h[e] <==> ala-B[c] + h[c]	Extra-organism, Cytosol		Reversible	Y	1838283	10	
SBTD_Dr	D-sorbitol dehydrogenase (R)		[c] : nad + sbt-D <==> fru + h + nadh	Cytosol	1.1.1.14	Reversible	N	1788567	7	
HACD10p	3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA), peroxisomal		[x] : 3hxccoa + nad <==> 3ohxccoa + h + nadh	Peroxisome	1.1.1.35	Reversible	N	1457708	6	
PYRt2	pyruvate transport in via proton symport		h[e] + pyr[e] --> h[c] + pyr[c]	Extra-organism, Cytosol		Irreversible	Y	218434	6,9	
GALGALGALTHCRMte	galgalgalthcrm_hs transport		galgalgalthcrm_hs[c] <==> galgalgalthcrm_hs[e]	Extra-organism, Cytosol		Reversible	Y	2742717	2	
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation		[c] : 3c4mop + h --> 4mop + co2	Cytosol		Irreversible	N	591680	1,10,4,5,6,7,9	
INStl	inosine facilated transport from lysosome		ins[l] <==> ins[c]	Cytosol, Lysosome		Reversible	Y	2327817	2	
METSr	methionine synthase reversible		[c] : 5mthf + hcys-L <==> h + met-L + thf	Cytosol	2.1.1.13	Reversible	N	1831574	4	
FRDO	frdo		[c] : fdxrd + nadp --> fdxox + h + nadph	Cytosol		Irreversible	N	1553093	3	
RH3CD	(R)-(homo)3citrate dehydratase	COBS11	[c] : Rh3cit <==> h2o + h3acon-C	Cytosol		Reversible	N	1897650	9	
FACOAL184	fatty-acid--CoA ligase		[c] : atp + coa + strdnc <==> amp + ppi + strdnccoa	Cytosol	6.2.1.3	Reversible	N	2219021	2	
PLIPA3	Phospholipase A (phosphatidylcholine)		[c] : h2o + (0.02) pc_EC --> (0.02) agpc_EC + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea	Cytosol		Irreversible	N	1484413	1	
TXA2te	thromboxane A2 transport		txa2[e] <==> txa2[c]	Extra-organism, Cytosol		Reversible	Y	2976337	2	
CYSTRS	Cysteinyl-tRNA synthetase		[c] : atp + cys-L + trnacys --> amp + cystrna + ppi	Cytosol	6.1.1.16	Irreversible	N	227759	4,5,6,7,9	
